# VehicleDB fuzzy match log
# Формат: score | нация/имя_в_статистике -> identifier_в_vehicles.json
# Чтобы исправить: добавьте запись в dataset/aliases.json:
#   { "нация/имя_в_статистике": "правильный_identifier" }

score=0.750 | Germany/M48A2C -> germ_mkpz_m48a2c
score=0.769 | Germany/◊T-72M1 -> germ_kpz_t72m1
score=0.667 | Germany/Waffenträger -> germ_waffentrager_krupp_steyr
score=0.714 | Germany/Gepard -> germ_leopard_I
score=0.692 | Germany/DickerMax -> germ_pzsfl_IVa_dickermax
score=0.714 | Germany/SturerEmil -> germ_pzsflk40_sturer_emil
score=0.696 | Germany/JagdpanzerIV -> germ_radpanzer_90
score=0.800 | Germany/M48A2GA2 -> germ_mkpz_m48a2ga2
score=0.667 | Germany/DF105 -> fw-190a-5
score=0.718 | Germany/Raketenautomat -> germ_spz_oerlikon_raketenautomat
score=0.759 | Germany/FlakpanzerI -> germ_flakpanzer_IV_Ostwind
score=0.714 | Germany/Pz.38(t)A -> germ_jgdpz_38t
score=0.706 | Germany/TigerWest -> tiger_uht
score=0.750 | Germany/TigerOst -> tiger_uht
score=0.667 | Germany/MarderIII -> germ_marder_clovis
score=0.800 | Germany/Sd.Kfz.6/2 -> germ_sdkfz_222
score=0.714 | Germany/Pz.38(t)F -> germ_jgdpz_38t
score=0.762 | Germany/Jagdpanzer38(t) -> germ_jgdpz_38t
score=0.737 | Germany/Gepard1A2 -> germ_leopard_I_a1
score=0.737 | Germany/Wiesel1A4 -> germ_wiesel_1_tow
score=0.759 | Germany/Flakpanzer341 -> germ_flakpanzer_I_ausf_A
score=0.667 | Germany/▀KWII754(r) -> germ_kv_2_754r
score=0.774 | Germany/Flakpanzer38 -> germ_flakpanzer_38t_Gepard
score=0.667 | Germany/R400 -> germ_th_400
score=0.778 | Germany/Pz.38(t)n.A. -> germ_pzkpfw_38t_na
score=0.800 | Germany/Wiesel1A2 -> germ_wiesel_1_mk20
score=0.737 | Germany/LuchsA2 -> germ_sppz2_luchs_a2
score=0.727 | Germany/TAM2C -> ta-152c
score=0.667 | Germany/CLOVIS -> germ_marder_clovis
score=0.769 | Germany/␠Tiger -> tiger_uht
score=0.720 | Germany/ErsatzM10 -> germ_pzkpfw_V_ersatz_m10
score=0.737 | Germany/Sd.Kfz.140/1 -> germ_sdkfz_251_21
score=0.714 | Germany/Class3(P) -> germ_ls_class
score=0.727 | Germany/IRIS-TSLM(TADS) -> germ_iris_slm_fcs
score=0.800 | Germany/SPz12-3LGS -> germ_spz_12_3
score=0.815 | Germany/BeutepanzerIV -> germ_beutepanzer_mk_iv
score=0.692 | Germany/Garford-Beute -> germ_garford_putilov
score=0.667 | Germany/▀M4748(a) -> germ_m44
score=0.727 | Germany/E-100 -> he_100d_1
score=0.667 | Germany/IRIS-TSLM(TEL) -> germ_iris_slm_fcs
score=0.727 | Israel/Sho'tKalGimel -> il_centurion_shot_kal_gimel
score=0.710 | Israel/Sho'tKalAlef -> il_centurion_shot_kal_alef
score=0.778 | Israel/Namer30 -> il_namer_rcws_30
score=0.692 | Israel/GalBatash -> il_magach_6b_gal_batash
score=0.737 | Israel/MagachHydra -> il_magach_6a
score=0.667 | Israel/Giraf -> b-17g_iaf
score=0.800 | Israel/SPYDER -> il_spyder_aio
score=0.667 | Italy/▄M24 -> it_m44
score=0.667 | Italy/L6/40 -> it_l6
score=0.667 | Italy/Breda501 -> breda_88
score=0.667 | Italy/TuranI -> it_40m_turan_1
score=0.727 | Italy/M13/40(I) -> it_m14_41
score=0.800 | Italy/L3/33CC -> it_l3_cc
score=0.667 | Italy/M26A1 -> wm_21
score=0.800 | Italy/AS42 -> it_as_42_47
score=0.727 | Italy/OF-40 -> it_of_40_mk_1
score=0.667 | Italy/ZrinyiII -> it_44m_zrinyi_1
score=0.706 | Italy/AUBL/74 -> it_aubl_74_60_70m
score=0.762 | Italy/FIAT6614 -> it_fiat_6614_106sr
score=0.706 | Italy/M13/40(III) -> it_m13_40_serie_3
score=0.762 | Italy/Leopard40/70 -> it_leopard_2a4
score=0.667 | Italy/VCC-80/60 -> it_vcc_80_hitfist_60
